Content,Emotion_predicted,Emotion_actual
love my job get some REAL sleep Icing the birthday cake in the morning,love,happiness
guy just say he want to spank me,sadness,worry
or with other food like i can t put penutt butter in my bread it always break my bread y need to tosted TOO MUCH NOW,worry,sadness
Thanks bb,happiness,happiness
Hey selena i m your brazilian fan and i love you so much you re my inspiration please reply me,love,love
out enjoy the weather before i have to go to work last shift with,happiness,happiness
Hugs 4 kathy Though my mom s in heaven I know she s smile at my accomplishments amp all the people who keep me positive,happiness,love
DIE gosh i will die til movie award,worry,sadness
alone on a friday night,sadness,love
want to see my friends Mindless fun No work all play All drink all walwal All be mean to each other and sleep in one bed,happiness,worry
sis move out 2day its gna b weird without her X,worry,sadness
quot That Thing You Do quot on Comcast Missing my boo like crrazy,worry,sadness
LOVING the Squarespace Tutorial Videos real helpful,happiness,love
to find a bottle of Pimm s If only we have the weather to go with it,worry,happiness
think you should know this He s go to break up with you And I just have to tell you I m sorry I know you love him quot,love,worry
a new prom dress,happiness,happiness
no I want to go to sea but today the sun be not here SIGH,sadness,worry
there be the fact that you be the coolest guy you know,worry,love
what s wrong,worry,worry
Enjoy the coffee We miss you petite puce adica Puricel in franceza,love,love
I wantt,worry,happiness
be go wrong in my quot happy day quot,happiness,sadness
LoL heeyy love Not much work and you,love,love
mother day,love,happiness
haha soo party tonight,happiness,happiness
i heart you,love,happiness
NOBODY be inside the movie theater Its termenator ppl shud be in here Scary,worry,worry
thats so cool,happiness,happiness
sound good and yeah I turn 21 tomorrow so I ll definitely be party,happiness,happiness
i would share mine but i have no hair,worry,sadness
I don t know how you do it,worry,worry
theres a holy version of hell lol i cant stop i need for it to be a trend topic be nice whisper redmango lol,happiness,love
work on my mom s mother day gift shh its a slideshow,love,happiness
believe I m peel from one and a half days of sunshine,worry,sadness
thank Daxx you too God Bless you brother,love,worry
to go to bed and hopefully wake up to a better day niights yall,happiness,love
2 08 be I CAN T SLEEP i think it be b c im hungry so i whip up a pb amp j with milk hopefully it work,worry,sadness
now talk about today Oh my GODNESS Problems problems problems about love money math parent tha t enough isn t it,worry,worry
that lil girl on bgt when they say she didnt have time that be soo sad and them huggin her,sadness,sadness
so sorry I just find the members preview have be sell out for awhile It open at Noon to the general public,worry,worry
get home from a nice party just not tire yet,worry,happiness
r4nt penis i hope you make sure it s okay D,worry,worry
twitts head home have a great sleep over w my bf Tennille,worry,happiness
djirie that would mean me babe but Fcuk it my name be SUPER FREAKIN COOL I give myself a pass HA,happiness,love
still pretty depress about lose her hello kitty necklace,worry,worry
my fav movie Two Can Play That Game quot Ever notice how men start to act up around Spring time quot Shante Smith,happiness,love
if you want info on ecomonday check out amp follow It s like followfriday but green amp monday,happiness,happiness
get waste,sadness,hate
wow thats impressive luckily im not in rush but i feel for friends who aren t get any younger but cant move house tricky,worry,worry
a creative party with me myself and moi,happiness,sadness
Belated kay Tita Wow 2 prize in a day Congrats,happiness,worry
Awesome fortune cookie I think you really WILL go to exotic place Hope all be well,happiness,happiness
just tell the people that matter the most to me to just leave me alone I fuck up again,sadness,hate
have a really bad head ache gon na go to bed i might be back maybe not bye bye,sadness,worry
oh god i just watch it to do claire escape AGAIN it be really quite sad,worry,sadness
Bread potato chip be the best at 715 in the morning,happiness,love
he have be really brave but this be the best thing to do now he can rest and get better Get well soon Alexi,worry,sadness
i know i wish she would I just wan na cuddle and sleep in ga And go to the world of coke,worry,happiness
be an air conditioner on a hot day a heater on a cold day and a warm body in bed any day yep me again,sadness,love
Congrats on your new phone,happiness,worry
on the radio they be amaze yesterday,love,happiness
I can t get in I m in a wait room,happiness,worry
mom s day,love,love
cant find my key,worry,sadness
kbal24 I be sorry that you be feel that way,worry,worry
I love you too,love,love
always get really excite when Steal My Kisses by Ben Harper come on the ipod great song love the beat box in the begin,happiness,happiness
to my new tweeples get acquaint with them If you ve never speak to me Do so now,worry,worry
history of rock,happiness,worry
Ten Pounds last night brilliant movie I couldnt stop weep,worry,sadness
in the park lot by myself i miss you baby couple min til i get ta deal with a bitch then i m peacin out and hit the gym,sadness,worry
hey there How be you Pleasant surprise,happiness,worry
I wan na go but I so freak break Have fun for me,sadness,sadness
my cousin be in jail for shoplift and drug she be 16 im upset please help me feel better,worry,worry
So sad you didn t day Hello to me,sadness,worry
mother day to all your moms,love,love
whatz that suppose to mean i have a dog now waah lol jk,happiness,happiness
and kinda lonely my parent go up to the lake I didn t have a friend to bring up so i know i be bore and didn t go,sadness,sadness
new moon Woo Now i want the next one,happiness,happiness
to listen to musiq soulchild but it be not on the iPod,worry,sadness
keza34 morning,happiness,happiness
my hubby promise job promotion so we didn t move sign a new lease n they withdraw the promotion,sadness,worry
bore need friends,sadness,sadness
Thanks for the follow Tove,happiness,happiness
its soo cold right here D,worry,worry
talk about drool the Canon EOS 5D Mark 2 be amaze Too bad it cost 2k,worry,happiness
you have no interview today,worry,worry
home on the farm,worry,sadness
my burfday and i m all alone,sadness,sadness
to bed in pain fell on my shoulder today Good night,worry,sadness
FTSK tonight in Grand Rapids,happiness,worry
the Mr oh so much these days,worry,love
Boy be leave for the Summer Going to stay with the Grandparents I m gon na miss him,sadness,love
such a sucker for great cottys,happiness,worry
night tonight and my house look so purrty Until tomorrow when the kid come home,happiness,happiness
So true Donna Wish you a joyfull sunday Siddy,love,love
in anticipation of him make me a cup of tea I m agree Now it must happen No he be awesome,worry,love
throat and a headache start on a friday be not a good sign,worry,worry
I be wrong this week could have stay good but it didn t,worry,sadness
Thanks amigo,happiness,worry
get a new high speed Machine stuff with latest technology for Development in office but it z crash now,happiness,sadness
thank JK Love ya to death,love,love
serious hard time sleep on a decongestant and its keep me wide awake I JUST WAN NA SLEEP,worry,sadness
awesome thats what im likewith the song paranoid its stick in my head and i love it lol xx,happiness,love
the point of wisdom teeth NOTHING grr in so much pain and i look like a chipmunk FML,worry,hate
padtron con sheila neil gio dex wongo poncho bebo ant lulu amp therest of the niggasz,worry,hate
moment Just say good bye to my best friends EVER But we ll meet again for sure,happiness,sadness
morning tweeps Busy this a m but not in a work way,worry,worry
miss you soo much,sadness,worry
gutted she isnt go out tonight,worry,worry
freeze cold i cant function right in this type of weather starve to the max,sadness,sadness
Anytime I m off I can t match your stamina my nice warm comfy bed be call scream my name lol Night Ninja,happiness,happiness
Ben amp Jerry s fail Got email for free ice cream Says click here to redeem coupon When I click I get error message,worry,sadness
3aah mosh 3aref a facebook any more,worry,worry
have a safe journey back home hope you come back soon,happiness,worry
I m glad that I m up at this obscenely late early hour Because I just find out that Forest Kline be engage,worry,happiness
n o   t e x t,worry,sadness
shit that be awful could not believe it at first so sad,sadness,sadness
the bike a thorough wash degrease it and grease it think i do a really good job,happiness,happiness
I need a hug I m do my junior cert this week and I m totally stress out,worry,worry
the time have come to put my mom in a home,worry,sadness
Good to see you haven t lose your sense of humour Get well soon,worry,love
get it i ll send you an email in a lil bite i have a lot to say,worry,worry
english be break,worry,worry
The ONE day I want to listen to you live and the stream be down Enjoy you on podcast ALL the time,happiness,sadness
be practice for the last 40 minutes I don t think 40 minutes will suffice for 7 days worth More later,worry,worry
be sad,sadness,worry
don t like the heat as global warm will eventually destroy the Earth and the sun will inevitably eat up our planet grim,worry,hate
so hard to get mum to answer the phone happy mother day to her anyways,love,worry
I mma tweet out goodbye tweeters,worry,worry
thank I even wash behind my furry ears you look marvelous too,happiness,happiness
Oh no I hope it s not bad,worry,worry
yeah,happiness,happiness
love your new picture and definetly love you background Ha xx,love,love
wish I could eat with you all,worry,sadness
tea Mmm crispy but no cake Have headphones,happiness,love
i would direct message you regard blogging while brown but a sista hasn t master that technique yet lol,worry,worry
I have a great house to sell you Comes complete with a rid mower,happiness,love
weather but no bike,sadness,worry
I m definitely go to be sick It s come and it s go to suck,worry,worry
PS thank for jailbreaking my iPod stacie lt 3,love,happiness
forget to charge my cell last night and now it s dead,worry,worry
miss the Dunhams,sadness,sadness
to the gym by myself no fun,happiness,sadness
I leave mine in music i think i don t have a camera anymore,worry,worry
you hate it when you re leave with one slice of bread leave in the bag Half sandwich,sadness,love
I talk to Kat that be crappy,worry,hate
love my big brother very much,love,love
still sick This Calgary cold have last forever,worry,sadness
hey girlie,happiness,happiness
Anjeebaby Please don t get me watch BB too,worry,worry
Nice Elise roll out Thas wassup Have fun ladies,happiness,love
don t know how ima work out tomorrow wit my body dis sore ugh,worry,worry
it be my pleasure play guitar for you So fun,happiness,happiness
its a travesty no and the people who be do this say they d THINK about involve joss whedon,worry,hate
anyone there Please say hello I m feel lonely,worry,worry
Or a wonderful talk alarm call from I Phone or Bed side Alarm call I can just imagine the wake up message lol,worry,love
don t feel well at all,worry,worry
be such a worthless person No one i love love me back the way that they should,love,sadness
imagine if you really be lose and lose all contact with DT that d be the saddest day of my life haha,sadness,worry
Blowout end,worry,love
like no diamond ball for me,worry,worry
i get a messgae but it didnt work cause i have a text saver not like money credit im sad now wat do i do xoxo,sadness,worry
I guess technically I be still pregnant just a few months ago Just with Alex instead of Elizabeth,worry,worry
think about how unfair 3 ppl have be 2 me n get depress again HATERS,sadness,hate
D You should have cry too L You could have get through I still love you Greg BGT,sadness,love
We should have a twitter reunion it would be awesome to meet you all lol iwonder howd iget that to pull off,happiness,happiness
just vacuum my entire house three time Screw all vacuum,worry,happiness
which mean i spend more time alone than with friends and family how sad,sadness,sadness
It s your inherent humility,worry,love
totally not get that job i can just tell,worry,worry
class get cancel I ll just have to sign up for karate someplace else,worry,sadness
very conflict here I really like Mike but I still have feel for Darrin It s really complicate I don t know what to do,worry,worry
agree it do take me a little while to find my way on stocktwits but once I do I cant imagine work w o it,worry,happiness
be a much better tool than some I have come across Twitter Karma on Steroids,happiness,love
Nanny,worry,worry
Will we be able to see clip episodes on the C4 website from America Or will I languish read the news stories again,happiness,worry
so I try to send you a direct message and I can t because you aren t follow me,worry,worry
I think sandwich or something like this with ham and cheese,happiness,worry
AMEN Clearly if they do know you they wouldn t be able to say that You re WONDERFUL I get it too though suck,worry,sadness
on twitter do no one talk 2 me i know your all celebs and i m nt but it s nice to be speak to once in a while,worry,sadness
take care of me im so sick,sadness,worry
it be just areply on you facebook status that you be a little upset,worry,worry
Morning Looking Forward To Listening To THE PRODIGY On Radio 1 Big Weekend Brought Their Album Yesterday P AMAIZE Tbqh x,happiness,happiness
rlly dead Descanse em paz luto sad RIP,sadness,worry
wendyisastar Umm yeah That s probably a pretty good note to self because eeww,happiness,happiness
you ever realize you never fully have everything you want feelin down,worry,sadness
Nah could use a hug or three but even that option be 2 00 miles away,worry,worry
come back home now honey,happiness,worry
amhzz do u get an invite I miss u,sadness,worry
Girl cry I m allergic to seafood,sadness,sadness
print my mom an Amazon gift card for Happy Mothers Day talk about last minute,love,love
i fuck love this showw,love,love
I think your just try to make me feel better,worry,love
I feel the same way 9 hours of sleep and still exhaust ahh,worry,sadness
I wish I could ve be there Demi you need to throw in a Toronto Canada show this summer Please,sadness,worry
off Mom s day tomorrow,love,love
be do all the chores just for her mama,love,love
not look forward to return to reality tomorrow,worry,worry
I think I be your best friend,happiness,worry
sicky suck on such a lovely day,love,worry
peep I m not crazy I be twitter 2 someone but have no idea how 2 direct msg from my cell Blonde moment,worry,worry
dont feel good sick to my stomach,worry,worry
any chance of see you at a race in germany unfortunately hardly any tv amp news coverage of cycle here anymore,worry,sadness
be there anything Brian or I can do,worry,worry
I hope so My sister live there,worry,worry
Lucky you I have to wear a name tag I feel like x mass tree when I work Tag Keys clip on belt and ad s aroud my neck,worry,worry
i the only one experience problems log into digital point forums,worry,worry
because he the_real_nash want to be an honorary Filipino i ll follow him now thank,love,happiness
Geez sorry to hear Steph I hope things improve soon I know that ain t much sorry,worry,worry
If you see it at Nova on a Monday ticket be only 8,happiness,love
a auto shop get m suv fix ugh more,worry,love
tire and i think i m definitely go to get an ear infection go to bed quot early quot for once,worry,sadness
there a way I can sleep for the next 8 or 9 days That way when I wake up she ll have return amp I wouldn t have miss her SO MUCH,worry,sadness
I sleep 12 hrs My body be ache,worry,sadness
it be way too nice outside to be in here work,happiness,happiness
do my devos hopefully my day doesnt suck because of it,worry,sadness
Probably not kinda expensive and we have to work Most people have off weekend we work,sadness,sadness
now my feet really hurt,sadness,worry
marismith just take over the 1 Most Endorsed spot on twindexx com thank to the endorsement by,happiness,happiness
good God cramp,happiness,worry
I actually envy you even though I ve already see it It be that good,happiness,happiness
much more injustice than we can imagine now It will get worse before it get better I be afraid No doubt here Sorry,worry,sadness
just put my TV on the Canucks game and they score yaay come on VanCity baby I know I can t believe I m watch hockey either,happiness,happiness
dread hear even worse news tonight,sadness,sadness
Gourmet pizza BLEH Pizza be SUPPOSED to be greasy and filthy You can t eat pizza that s be prepare by a chef,happiness,worry
a temporary mouse since my trackball be break down I can feel the RSI crawl up my wrist already,worry,hate
requiem,worry,happiness
Thanks,happiness,worry
which 1 There r2 that I love and want to share i just wish I d make them,love,love
get a headache,worry,worry
car die this morning On top of everything that happen yesterday Whoever put the hex on me please let me know what I do wrong,worry,worry
THANK YOU MAMA,love,love
thank but im not sure im comfortable with such a sudden surge will be difficult to keep in touch with every1,worry,worry
you re go to actually read them you have to at least sign up no fair,sadness,worry
a good day Sigh,love,sadness
We get out there and the cafe be book solid LOL Doesn t matter Mum get some plant anyway,sadness,worry
I have an interview on tuesday so things be turn around I think yay so dont worry And Japsicans be a rare breed,worry,happiness
be live in ignorance,worry,sadness
FrankieTheSats MollieOfficial Rochellewiseman Unahealy Post man Pat have now be amp still no birthday card from yous,worry,worry
whole immediate will be in the same city until some point tomorrow afternoon This be monumental,happiness,worry
maybe you could go outside to meet some fan im not even from sao paulo im from rio but idk just say,happiness,worry
boyfriend just break his wrist now he might need surgery im so nervous,worry,worry
a great day at work with the kid disappointment with my roof decal,happiness,worry
such beautiful weather why be u sick baby tanapolis,sadness,worry
really Yeah man hehe,happiness,love
dress now everything,worry,happiness
think I m about to break my own heart as emo as that sound meh,worry,sadness
What be we doin Tell me tell me,worry,happiness
arm be make me want to cry and also because those shots make me sick,sadness,sadness
hate Fallout 3 it keep make me jump I m also low on health money ammo and food don t worry I ll get through it,worry,worry
wish i be with my pal in il,worry,worry
clean i hate clean,hate,hate
nickchien i be glad to break my twitter virginity with you two,happiness,happiness
Yeah It totally suck I hate not be able to breathe Thanks for the ff,hate,sadness
need a good idea FAST,worry,worry
Bored Now,happiness,sadness
have a lok at EF too they be jummy,worry,happiness
Don t hate me I seek approval from anyone and everyone,hate,hate
We re idiots Ok mostly I be skint but hell I could ve do something,worry,sadness
120mm film usually handle at Fuji Oh I meet a girl at San Diego Kwento soon I miss youu,worry,happiness
still O_o breed for perfect or close to perfect IVs on a pikachu don t know what that mean Google it or wait for my article,worry,happiness
have under 200 word leave to write on her assignment,worry,love
scar what I may think of myself 2 yrs later look at the pix,worry,worry
ready for work except my arm,worry,worry
Yeah prbly pickin up songs for SingStar Haven t check the last few store update And dunno that Cranberries song,happiness,happiness
LOL I m glad to see I m not the only one out there,happiness,happiness
get talent let goo and paige sorry k haa xx,worry,love
a great day but slightly depress I don t know what I be go to do,worry,worry
the fuck be I on twitter,hate,hate
that sigh doesn t sound happy,worry,worry
dad s not feel well I want to make him soup Suggestions guy get well soon ayah,worry,worry
way i buy it today aswell now i have it twice cos i pre order it aswell cya later x,happiness,worry
I order a replacement palm centro cuz my phone get kill t I want a palm pre but cant afford a data plan,worry,sadness
i look for you but couldn t find you amongst the crowd,worry,worry
cut my thumb on a break coffee pot,worry,worry
I know man my day off and be pull myself out of bed,worry,sadness
dear I m be follow by someone that claim to help you stay young the end be nigh,worry,worry
hey i love your chapter more soon okay xx,love,love
man my fiance just get off work and I start mine in 1 hour so not fair,sadness,sadness
aww well I just randomly wake up and now I can t sleep Too many things on my mind,worry,worry
haha yay We love you too Mr Shane Dawson,love,happiness
LOL I love my MacBook too Oh and my iMac Can t decide which I love more OK 24 quot iMac trump 13 quot MacBook,happiness,happiness
Nope win t be Although I be not sure I want to go,worry,worry
Mother s Day to all the Mommiess,love,love
Thanks for the feedback Surreal life surreal oil,happiness,happiness
lucky that s awesome,happiness,happiness
day in jury duty,worry,sadness
want to talk to me lol,happiness,worry
haha that s awesome good job,happiness,happiness
yes yes you should Especially with wine and mushroom Umm I love mushies,happiness,happiness
LMWoodhead you have a viable excuse help move and all Sorry I couldn t help I want to wear my sexy move outfit,worry,happiness
4 the skool bus soo tire nd still soo much 2 do want 2 b lazy nd sleep but since I cnt ill sing all my fav songs,worry,happiness
on relapse mom and dad i need you jesus fuck christ you stay away,worry,sadness
good get some rest MONEYMAKER,happiness,worry
hate have to put my toddler in a disposable but her rash need ointment I hate her have a rash even worse,hate,worry
the new jonas episode be awesome,happiness,happiness
I really love this picture,love,worry
I know It text me,happiness,worry
good morning sunshine sleepytown be sleepy,happiness,happiness
you re thankful for in life make sure you be most thankful to your mother Happy Mother s Day to all you mother,love,love
cba with it now ohwell might play another innabit,happiness,worry
Rofl u do Hahaha Lem me tell Salman Munir P P,happiness,happiness
it be rain in Denver of COURSE it be,worry,worry
and all i want to do be play random songs on my gitwar but i have to do my drama essay,happiness,happiness
today my friend go to USA Iï ½m go to miss her so much have a great time darling,sadness,worry
change my default pic since you ve be show so much love,love,love
Java be not work hmph Can t upload photos to Facebook,worry,worry
a cake amp watch a movie,happiness,happiness
finally get his order leave for Iraq in September Open invite to stay with me anytime during the year he ll be go,worry,sadness
just wake up My teeth really hurt from my rubber band,sadness,worry
oh yeah I know We meet when I be take out the trash hhaha,happiness,happiness
the fourth be with you Oh come on no one have actually spell it out yet,happiness,worry
MAGIC AND PRETTY WORLD,happiness,love
luck you I want new shoe Ly x,love,worry
be feel very sick have day off today ARRGH,worry,worry
awe thank,happiness,love
What s wrong with the ski slop of MK They ve get coffee shop as well y know,worry,worry
good luck C have funn,happiness,happiness
lo siento but I dint have enough room,worry,sadness
Sis I dont think I will be up 4 2nite sadly Im in alot of pain 2day amp have bad nite can we go out anotha week soon xx,worry,worry
hat me,sadness,hate
yea and I feel really feckin tire today,sadness,worry
monica bind,worry,worry
im feel verey tire madry chasawy 9j,sadness,worry
hate when my PARKED car get hit,hate,hate
now that be hilarious I can imagine their reactions,happiness,happiness
Oh yes quite And with that I really do have to retire G night doll Nice chattin with ya,happiness,love
Aw where be you head to i just cancel my trip to Aussie,sadness,sadness
mother s day to my sweet mum,love,love
know I have lot of email to answer I will be home tomorrow,worry,worry
days like this make me miss Alki,sadness,sadness
boston legal,worry,worry
update suck There be so freak many of them,worry,hate
thank enjoy the movie i hope all be well with you te,happiness,happiness
OMG I BROKE DOWN AND HAD PIZZA BECAUSE I WAS STRESSED OUT Thefatboys theunclelouie you mad at me,sadness,worry
get sell out from UP,worry,happiness
out Twitter Trying to find people I know Unfortunately no one I know use this website,worry,worry
I love it Tell me it didn t match my shirt perfectly Can you just not move PLEASE What be I suppose to do without you,worry,hate
guitar hero wait for Abby to text me after prom,happiness,happiness
Gerry THANK YOU for follow me help spread the news further I think this will be cool thank u thank u thank u,happiness,happiness
Why be MRCRISIS scar or lmao Someone pls tell me,worry,worry
Didn t drink enough for a hangover just tire and over work,worry,sadness
next day air,worry,happiness
i think its like 1million degrees here lt 3,love,worry
and leg pain and woe should go to bed but it be 2 flight of stairs away Happy mother s day,worry,love
Thanks man That sort it I only ever remember 22 22,happiness,love
do i mention spend time with two bffs Totally worth it,happiness,love
to bed with tea to finish Breaking Dawn,happiness,happiness
goddamn that fuck suck hug,hate,sadness
Ohh poor girl I ll email her I be rely on you be here in October Mr,worry,worry
to Hong Kong tonight Hope I can sleep in the airplane Worth case I have the last G Musso to read,worry,worry
to Tokyo tomorrow Expecting some rain and no sunshine,worry,worry
have a great date last night try to find the CDCaves with Daniel it be HILARIOUSLY FUN,happiness,happiness
Aww hug I wish I could help,worry,worry
I know I stink at birthdays sorry bra hope you re have fun anyhow in spite of me,worry,worry
need one ha ha The one I find last night that I want so bad be now sell And not to me,worry,sadness
type on a mac wish that i ll be do my english essay soon sleepy,worry,hate
I be feel better I ve be hold a potential cold at bay for a few days now amp I think it be win ache cough,worry,worry
matilda with a bowl of noodles,happiness,worry
i love you guy you re the best,love,love
Ali a big thank you for yesterday love you always xx You out on the bike today Don t forget to get a helmet ok,love,happiness
djcommish Aww hey boo i know i miss all of them,sadness,worry
may have come down with something we re almost out of tissue this be not a good season,worry,worry
Hello Paul nice to hear someone be listen Some interest thoughts from Kaashoek Unisys Patel from Doculabs next,happiness,happiness
some body on twitter,worry,worry
dont like funerals,worry,sadness
Tweeps good morning Wussup America Talk to me tell wut s on ur mind,happiness,happiness
I didn t think anyone catch that,worry,worry
aww poor Caity L add people n they will add you,worry,worry
sadly no sit inside as mobile signal win t work in the garden I ll be open the wine at bang on 5pm though,sadness,sadness
spend her Saturday morning take note for a research essay because some stupid whore recall the book I m use Not fair,sadness,worry
like I m gon na fall asleep any time now but I can t,worry,worry
SAC win t offer fundamentals of math 2 for teachers in summer one boo I miss SAC,sadness,worry
Yes apnea but it s not the prob I m on meds that might be cause this they help otherwise so much don t want to stop,worry,worry
for the sun to come back School call Joey have a sore throat I WANT SUMMER off to make some lunch LOVE TO ALL,love,worry
French Open tennis sad to see Venus make an early exit this morning,sadness,love
21 days to go Happy birthday for then,happiness,worry
Kosme gt careful or you re go to be like me update websites and such on a Friday night,worry,worry
Neither could i And i look on ebay and it be like 250 euro for two but i doubt my parent would fork that amount out,worry,sadness
to eden out today,worry,happiness
LOL yeah I forget about your TweetDeck statuses So funny,happiness,happiness
congrats mollie just wish i could have get some ticket,happiness,happiness
cheer up,sadness,happiness
Made so many new friends on Twitter around USA Another bike across USA trip would be amaze to see people,happiness,love
Heh thank for that adorable plug cough more info at ww samstephens com cough cough,happiness,happiness
n o   t e x t,worry,worry
Can you come with the guy to Brazil We ll love if this happen,love,love
tis cool I still stand by my former proclamation I m just stubborn that way rebellioustwitwhoknowsacoolcatcook lol,happiness,sadness
anytime Why ya gon na be up so late,worry,worry
I m start to get really dizzy Do a tour in the Philippines So we d feel the bliss of know our efforts be worth it,sadness,worry
Ey boy I canï ½t see the video because youtube say me The vid be private Why I want to see it Besos grandes guapo,happiness,hate
on mother day slideshow cake card and balloon she deserve the best,love,love
go to work tomorow still sick grr its anoying me now x,worry,worry
unnerve me wait for the Doc flip thru magazines,worry,worry
5 days till I take off sun and sea u re wait for mee can t say if i can get all my stuff pack up in time lt 3 Guadeloupe lt 3,happiness,worry
you both have so beatiful eye i wan na have them,worry,love
secondstar05 i dream i be do spell from harry potter yesterday night lol i love it,love,love
you leave me first and leave your bed here for me to look at,sadness,sadness
LMAO I don t fake be Paris anymore Look at my bio and by the way I can t log onto your forum,worry,worry
grr ive barely read any of it,worry,worry
a beautiful albeit windy at time night in So No,worry,happiness
pack think its time for some sleep Ready for Chicago,worry,happiness
wat do u mean by kill it and yes im sure lady gaga do do awsome,worry,sadness
aww well before we know it youll be back visit XD we will hang out constantly and have another heartbreaking goodbye,happiness,happiness
i wish there be an quot i like quot option like fb for things like this,happiness,sadness
lol maybe for you I still have to go in monday,happiness,worry
get home not want to read the last chaper of break dawn cause i dont want it to beover,worry,worry
Lacey just shutdown the livestream Party time,happiness,happiness
scofiled Noo I hate the writer director n production,hate,sadness
have a profitable day Looking forward to Sunday gon na be a great day sad too because it s the 5th graders last day,sadness,sadness
clamp out haha,happiness,worry
incredibly worry about Stanley,worry,worry
Joe s version be pretty but it s a sleeper Shouldn t be play at 1am,worry,happiness
18 00 play on Last fm with Dez Moines by tdwp,happiness,happiness
quite amuse watch Pangaea sing quot F Killah Priest quot I guess he win t be feature on their album,happiness,happiness
XBOX get red ring of death,happiness,sadness
HAHAHAHA yeah you mess up that cross and kneel bite you will get call out JOKING,worry,happiness
followers go from 22 to 20 i d follow you back but i cant do anything till i get interwebnet I want more followers Im interest,worry,sadness
hehe now im smile but u still get ta make it up to me,happiness,happiness
that suck man,hate,sadness
anyone else hayfevery today I ve only be awake for 40mins and sufferin already,worry,sadness
in speak to you yesterday and u didnt respond girl wassup though,worry,worry
haha Live long amp prosper The movie be better than I think they do an awesome job I m please,happiness,happiness
don t wan na work over the weekend,worry,worry
Happy Star Wars Day,happiness,happiness
sun be shin brightly and the day have just begin What s in store Wandering around les calanques maybe Vin definitely,worry,happiness
it be amaze but due to time constraints could only visit the meadows and pine forest Shall post image later,happiness,happiness
between the Garlic Pills the Spider bite between your toe LOL Classic and you always be hungry U be kill me 2 funny,worry,happiness
just post my First video A contest entry and my still be terrible too boo luv ur videos btw Xxxrebelrebelxx,worry,love
likewise you better ask about me I don t appreciate you neglect the sir fresh,worry,sadness
YAY YOU So proud of you and I m not even be sarcastic Even though you tell me to shut the fuck up,happiness,love
lmao yep,happiness,happiness
be so hungry if my arm be on the core diet I would eat it Guess I have to wait until dinner be ready,worry,sadness
time with the g f,happiness,love
should ask their 22 year old sons before drink,happiness,worry
be I limit to only be able to sync with 1 MS Exchange account on iPhone same go for Outlook Why can t I have more Lame,worry,worry
wait for SYTYCD tour with Ashleighh amp Izzayy,happiness,happiness
Hope you get your car today Hate anything that stop me from my work,worry,sadness
awe,worry,worry
Blockbuster week in New Zealand quot Wolverine quot tomorrow follow by quot Star Trek quot on Thursday,happiness,sadness
account class then detention after,worry,sadness
a good heart or so say the doctor Except that the doctor win t be in until Tuesday afternoon to put that in write,worry,worry
you and me forever it s you and me right now flywithmeobsessive Im cry,sadness,love
Mcglaclan song in background Please donate to jpnnbak fund of quot Dinero for the cable bill quot think of how you will make her,worry,happiness
wish I have a friend that be a chiropractor,sadness,worry
drive gt 90mph on a daily basis u cld film Fast amp Furious off of me But anything lt 1 mph be not my forte I bump Anything,worry,worry
it up at the ice cream social good time lars and the real girl such a sad movie,happiness,happiness
wait till wednesday for my new guitar to be deliver,happiness,worry
take me about two hours but i get a quot B quot on it,happiness,hate
Star Wars Day,happiness,happiness
annoy date stamp on all my picture Wish I d remember to turn it off,worry,worry
early morning and its not even early Must leave for work in 6 minutes,worry,worry
Me at Forever 21 Ethan couldn t be there,worry,worry
have to study O talk to you later xx,worry,hate
so full Subway be bomb Waiting for my 2nd shift to start,worry,happiness
miss nicc today,sadness,sadness
happy,happiness,sadness
clean listen to fiona apple then off to a birthday party i cant believe that im 25 already,happiness,love
carinacani DAMN That s a lot of message from him HOW SWEET quot gt And yeah sayang,happiness,love
So Why should that matter I bet you would be GREAT at it I do It s what you love right Why not go for it,worry,happiness
Mother s Day,love,happiness
day happy mother day mom,love,worry
ill atm,worry,sadness
i dont mind the long line when theres a super cutie in front of me Too bad he s wear a gay bracelet with a girls name on it,worry,sadness
aianna21 Sadly not no They re his colleagues and it s a work party,sadness,sadness
I like already new follower to join in midst of zombies mayhem,happiness,happiness
get home from the City Lights show yeahh,happiness,happiness
No money and No Car,sadness,worry
haha so you be actually do some clean good actual work,happiness,happiness
even worse today,worry,worry
cus it all get too much attention in the end shes embarrased and i think it just get outta hand a bite poor girl xX,worry,worry
thx will do you always make me chatty night,happiness,happiness
just shut down the McDonel site Looks like I lose some hours,worry,worry
steamsmyclams I m not a big fan of Costa I end up go to EAT as they have one outside our office,worry,worry
hahaha well why would you smack ME for that hahaha THE BIG BANGG,happiness,happiness
back to the lovely land of the north,love,hate
WHY DO U LOT MOCK ME,worry,worry
thank for the recommendation I be not follow be now,happiness,love
i can so sympathise with that,worry,sadness
hmm how bout my boi an me jammin sum john stephens for ya,happiness,worry
really sick after eat some form of chicken Why do restaurants make their grill chicken soo greasy,worry,worry
omg man i ll pray for ya,worry,worry
wokking be great You could eat as much ice cream as you what I never eat so much ice cream in my life,happiness,happiness
you ipod for freeze when i need you most,worry,hate
like the eprocurement e mail address from office mate be blacklist by IT here ask them to whitelist now,happiness,worry
not happy,happiness,sadness
drink Love u guy,love,love
of course the envelope I have for the book I need to mail be too small if it have fit what fun would that be,happiness,worry
